Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
tbb::internal::intrusive_list_base<tbb::internal::intrusive_list<tbb::internal::arena>, tbb::internal::arena>::iterator_impl<tbb::internal::intrusive_list_base<tbb::internal::intrusive_list<tbb::internal::arena>, tbb::internal::arena>::iterator>::item                                                                                                                                      libtbb.so.2                  0.021s         0s             0s
tbb::internal::arena::is_busy_or_empty                                                                                                                                                                                                                                                                                                                                                           libtbb.so.2                  0.020s         0s         0.020s
__itt_notify_sync_acquired                                                                                                                                                                                                                                                                                                                                                                       libittnotify_collector.so    0.019s         0s             0s
__itt_notify_sync_prepare                                                                                                                                                                                                                                                                                                                                                                        libittnotify_collector.so    0.018s         0s             0s
std::less<unsigned int>::operator()                                                                                                                                                                                                                                                                                                                                                              libtbb.so.2                  0.018s         0s             0s
tbb::internal::machine_load_store<long, (unsigned long)8>::store_with_release                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.018s         0s             0s
tbb::internal::arena::num_workers_active                                                                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.016s         0s             0s
tiny_cnn::gradient<tiny_cnn::mse>                                                                                                                                                                                                                                                                                                                                                                cnn                          0.016s         0s             0s
tbb::internal::arena::is_out_of_work                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.015s         0s             0s
tbb::internal::machine_load_store<tbb::task**, (unsigned long)8>::store_with_release                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.015s         0s         0.015s
_ZN3tbb10interface78internal9start_forINS_13blocked_rangeIiEEZN8tiny_cnn5for_iIZNS5_36gradient_descent_levenberg_marquardt6updateERKSt6vectorIdSaIdEESC_RSA_EUliE_EEvbiT_EUlRKS4_E_KNS_16auto_partitionerEE13note_affinityEt                                                                                                                                                                     cnn                          0.014s         0s             0s
std::vector<double, std::allocator<double>>::_M_fill_insert                                                                                                                                                                                                                                                                                                                                      cnn                          0.014s         0s             0s
tbb::internal::arena::may_have_tasks                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.014s         0s             0s
tbb::internal::market::arena_in_need                                                                                                                                                                                                                                                                                                                                                             libtbb.so.2                  0.014s         0s             0s
tbb::internal::market::process                                                                                                                                                                                                                                                                                                                                                                   libtbb.so.2                  0.014s         0s             0s
__printf_fp                                                                                                                                                                                                                                                                                                                                                                                      libc-2.12.so                 0.013s         0s             0s
tbb::interface7::internal::flag_task::~flag_task                                                                                                                                                                                                                                                                                                                                                 cnn                          0.013s         0s             0s
[Import thunk tbb::internal::allocate_continuation_proxy::allocate]                                                                                                                                                                                                                                                                                                                              cnn                          0.012s         0s             0s
__TBB_TryLockByte                                                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.012s         0s             0s
sub_magnitudes                                                                                                                                                                                                                                                                                                                                                                                   libm-2.12.so                 0.012s         0s             0s
_INTERNAL_24_______src_tbb_market_cpp_3f34bbdd::__TBB_machine_and                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.011s         0s             0s
tiny_cnn::layer<tiny_cnn::activation::tan_h>::activation_function                                                                                                                                                                                                                                                                                                                                cnn                          0.011s         0s             0s
[Loop at line 48 in _INTERNAL_27_______src_tbb_scheduler_cpp_3f34bbdd::__TBB_machine_pause]                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.010s     0.010s             0s
